播放清單 ID,頻道 ID,建立時間,更新時間,標題,說明,瀏覽權限
PLRxHJ_c_TytpYWDYQDJgYKh1iwiO_WULz,UC-gVtrstQm3mNG45kUFGBPw,2015-08-09 10:45:57 UTC,2021-08-09 13:26:39 UTC,Watch later,,私人

影片 ID,新增時間
W2Z7fbCLSTw,2020-10-24 05:26:01 UTC
sEqlnPUaRX0,2020-10-23 17:17:59 UTC
_0rHU6qAQe0,2020-10-23 15:05:42 UTC
4Z6lxfglvUU,2020-10-23 04:54:07 UTC
mv9CwLhcruE,2020-10-23 02:06:55 UTC
n57_NhA7UcA,2020-10-23 02:01:53 UTC
7byRQGHD39w,2020-10-22 19:30:37 UTC
5gIX1Oq7yvk,2020-10-22 11:58:54 UTC
stz12TB72XI,2020-10-22 10:54:41 UTC
kZRX4wldSZM,2020-10-22 09:58:19 UTC
0lbw6OBerhA,2020-10-22 09:46:53 UTC
em8nBc-zRaM,2020-10-22 04:21:30 UTC
rLZGVgqw5u4,2020-10-22 03:27:04 UTC
sEIg140mUqI,2020-10-21 16:02:30 UTC
_tqtUMx4vJ4,2020-10-21 10:29:23 UTC
3IlaxZf3-s8,2020-10-21 07:51:42 UTC
27u8xHqLMZE,2020-10-21 07:48:27 UTC
iidqJ7p7ln4,2020-10-21 03:37:08 UTC
fB7nyxXaczY,2020-10-20 18:57:31 UTC
dCmGBOgSjtg,2020-10-20 04:18:02 UTC
kKYloh7_k5s,2020-10-19 12:38:58 UTC
lCi6fWuI8r4,2020-10-19 09:19:18 UTC
MpLHMKTolVw,2020-10-19 09:19:08 UTC
KOU2Zu3h7zM,2020-10-19 09:18:44 UTC
JbNegqgZKCw,2020-10-19 09:18:36 UTC
dYZJxhYjBE8,2020-10-19 09:18:26 UTC
BYUy1yvjHxE,2020-10-18 14:21:03 UTC
Pb3AAfz5Yjg,2020-10-18 09:28:24 UTC
M5v1nXiUaOI,2020-10-18 09:28:04 UTC
gvAF9mboxFM,2020-10-18 09:27:35 UTC
d6FeV8WXPWY,2020-10-18 09:25:55 UTC
09_LlHjoEiY,2020-10-18 08:08:30 UTC
dZ_6MS14Mg4,2020-10-16 15:14:31 UTC

